epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.3925,2.11319,4.16091,1.76073,0.67853,0.3202,0.31769,0.10187,2.24864,3.74954,1.81331,0.000126121,0.000126121,0.000126121
2,133.842,1.85909,2.88985,1.5341,0.67668,0.29532,0.35639,0.11316,2.41591,2.86741,1.97562,0.000251935,0.000251935,0.000251935
3,201.194,1.82402,2.57667,1.53349,0.32811,0.50948,0.42821,0.17008,2.04607,4.89415,1.7105,0.000375208,0.000375208,0.000375208
4,269.326,1.75378,2.2868,1.48783,0.52223,0.68084,0.6971,0.34533,1.64389,2.58901,1.28096,0.000373565,0.000373565,0.000373565
5,336.931,1.73166,2.11427,1.46076,0.649,0.75493,0.77531,0.32697,1.9753,1.55338,1.5327,0.000369754,0.000369754,0.000369754
6,405.37,1.69189,1.99436,1.44262,0.52598,0.77029,0.75961,0.36357,1.65254,1.84749,1.3052,0.000365942,0.000365942,0.000365942
7,473.42,1.63742,1.85367,1.42841,0.67496,0.54848,0.59639,0.28293,1.69327,2.4486,1.34542,0.000362131,0.000362131,0.000362131
8,541.654,1.63831,1.82373,1.40886,0.5506,0.79385,0.75655,0.38444,1.59523,1.52687,1.23294,0.000358319,0.000358319,0.000358319
9,610.11,1.57855,1.79839,1.39215,0.72163,0.83466,0.86265,0.43994,1.5714,1.36439,1.22317,0.000354508,0.000354508,0.000354508
10,677.564,1.57769,1.70717,1.37778,0.80417,0.91843,0.93216,0.49153,1.5018,1.16456,1.17523,0.000350697,0.000350697,0.000350697
11,745.323,1.5871,1.59074,1.35887,0.76776,0.86432,0.86615,0.46987,1.49196,1.19116,1.17195,0.000346885,0.000346885,0.000346885
12,812.7,1.57741,1.65748,1.36468,0.60469,0.84422,0.80148,0.40798,1.63457,1.41122,1.2135,0.000343074,0.000343074,0.000343074
13,880.129,1.50878,1.55289,1.32989,0.65762,0.64727,0.71214,0.37855,1.62165,1.80095,1.27496,0.000339262,0.000339262,0.000339262
